INFO   | jvm 1    | 2019/02/06 21:25:07 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 6800050000071d406888c3c4004b10020005000014190206212874e800007dc900000000000000000000442041d4cb1342c800002074e80000c66643ea000000000000000000000000000085203fcb800000000074e80000008b16
INFO   | jvm 1    | 2019/02/06 21:25:08 | 0005000007新增flmeterdata放弃,异常数据单价：1125285234抛弃原文: 6800050000071d806888c3c4004b100200050000151902062128c51f0000d47f00000000000000000000d08141e7ea4742c7000039c51f0000ac4846bd00000000000000000000000000007d7243128000000000c51f0000000f16
INFO   | jvm 1    | 2019/02/06 21:26:11 | 0005000013新增flmeterdata放弃,异常数据标况总量：209622标况流量：1121345864抛弃原文: 68000500001308806888c3c4004b10020005000024190206212532d6000332d60003614842d6d70a42f700004170947b42ac00000032d600036800463d00000000000000000000000000000a3e3fb7800000000032ab0003009f16
INFO   | jvm 1    | 2019/02/06 21:26:41 | 0005000010新增flmeterdata放弃,异常数据标况总量：289889标况流量：1120622346抛弃原文: 68000500001002006888c3c4004b1002000500001819020621266c6100047a300003570a42cb28f642edcccd4104000042a70000007a3000030a17470e000000000000000000000000000066673fc680000000004cb10003004d16
INFO   | jvm 1    | 2019/02/06 21:26:42 | 0005000010新增flmeterdata放弃,异常数据标况总量：411715标况流量：1120695747抛弃原文: 68000500001002406888c3c4004b10020005000019190206212648430006c576000375c342cc0f5c42ef1eb84111000042a7000000c5760003d19a46ed000000000000000000000000000066673fc680000000009b55000300fc16
INFO   | jvm 1    | 2019/02/06 21:26:43 | 0005000010新增flmeterdata放弃,异常数据标况总量：181655标况流量：1118071685抛弃原文: 68000500001002806888c3c4004b100200050000201902062126c597000219b500036b8542a46b8542c0cccd4114000042a700000019b500039a0f46cf000000000000000000000000000066673fc68000000000eeae000200ad16
INFO   | jvm 1    | 2019/02/06 21:29:45 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 68000360000318006888c3c4004b10020003100005190206212700400000004200000000000000000000b5dc41d74efb42c8000000ec5200008e00471a000000000000000000000000000000003f80810000000000000000002616
INFO   | jvm 1    | 2019/02/06 21:29:46 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 68000360000318406888c3c4004b100200031000061902062127000000000000000000000000000000000000000000000000000000bd010000e6004749000000000000000000000000000100003f8081000000000000000000f116
INFO   | jvm 1    | 2019/02/06 21:32:10 | 0005000012新增flmeterdata放弃,异常数据总累积量：5427抛弃原文: 68000500001208006888c3c4004b100200050000231902062137000000000000000000000000000000000000000000000000000000153300004eb844100000000000000000000000000000147c3fce800000000015330000000316
INFO   | jvm 1    | 2019/02/06 21:32:23 | 0005000013新增flmeterdata放弃,异常数据标况总量：209634标况流量：1121419264抛弃原文: 68000500001309406888c3c4004b10020005000024190206213132e2000332e20003800042d7b85242f83333416b947b42ac00000032e20003235c463d00000000000000000000000000000a3e3fb7800000000032b70003001616
